Kniaziev Denys ,13:40
Remnov Bohdan ,13:40
Nikulin Oleksandr ,13:41
Moroz Maryna ,15:27
Zabolotnyi Viacheslav ,15:27
Piddubnyi Ruslan ,15:49
Khvostyk Henadiy ,16:19
Hryshyn Henadiy ,16:20
Kovalenko Yevhenii ,16:21
Puhach Volodymyr ,16:22
Radonov Oleksii ,16:39
Lytochenko Dmytro ,16:48
BOZHENKO Mykola ,16:57
Mokrenko Oleksandr ,17:11
Kovalchuk Andriy ,17:52
Bieliavskyi Andrii ,17:53
Sidorova Tatyana ,17:53
Sevidov Sergiy ,17:55
Melnyk Aleksandr ,19:18
Usenko Andrii ,19:56
Savchenko Serhii ,19:56
